Installation,Station.Name,Receiver,DeploymentDate,RecoveryDate,Longitude,Latitude
Cleveland Bay,E9,VR2W-105937,2009-11-06,2015-01-01,146.99233,-19.19747
Cleveland Bay,E10,VR2W-105938,2009-11-06,2015-01-01,147.00768,-19.18438
Cleveland Bay,E14,VR2W-107806,2011-02-08,2015-01-01,146.9665,-19.23075
Cleveland Bay,E17,VR2W-107807,2011-02-08,2015-01-01,146.91887,-19.26602
Cleveland Bay,E13,VR2W-107810,2011-02-08,2015-01-01,146.98017,-19.22022
Cleveland Bay,E15,VR2W-107812,2011-02-08,2015-01-01,146.9524,-19.24463
Cleveland Bay,E16,VR2W-107815,2011-02-08,2015-01-01,146.93515,-19.25467
Cleveland Bay,W2,VR2W-109095,2010-05-26,2015-01-01,146.7979,-19.22012
Cleveland Bay,W3,VR2W-109096,2010-05-26,2013-04-16,146.80068,-19.20782
Cleveland Bay,W4,VR2W-109097,2010-05-26,2012-10-26,146.80975,-19.21105
Cleveland Bay,W5,VR2W-109098,2010-05-26,2015-01-01,146.82005,-19.20205
Cleveland Bay,W7,VR2W-109099,2010-05-26,2015-01-01,146.82703,-19.18675
Cleveland Bay,W8,VR2W-109100,2010-05-26,2013-04-14,146.80875,-19.18185
Cleveland Bay,W9,VR2W-109101,2010-05-26,2012-06-18,146.7985,-19.19175
Cleveland Bay,W10,VR2W-109102,2010-05-26,2015-01-01,146.7867,-19.20352
Cleveland Bay,W11,VR2W-109103,2010-05-26,2015-01-01,146.77802,-19.18885
Cleveland Bay,W12,VR2W-109104,2010-05-26,2015-01-01,146.78715,-19.18052
Cleveland Bay,W13,VR2W-109105,2010-05-26,2015-01-01,146.79833,-19.16958
Cleveland Bay,W14,VR2W-109106,2010-05-26,2015-01-01,146.78883,-19.15703
Cleveland Bay,W15,VR2W-109107,2010-05-26,2013-06-18,146.78065,-19.1669
Cleveland Bay,W16,VR2W-109108,2010-05-26,2015-01-01,146.77193,-19.17502
Cleveland Bay,E21,VR2W-109109,2010-08-20,2015-01-01,146.91738,-19.28952
Cleveland Bay,E28,VR2W-110634,2010-08-20,2015-01-01,146.99593,-19.24115
Cleveland Bay,E25,VR2W-110639,2011-01-18,2015-01-01,146.98097,-19.23519
Cleveland Bay,E34,VR2W-105931,2010-03-09,2010-11-03,146.97043,-19.25904
Cleveland Bay,E35,VR2W-110635,2011-03-22,2013-03-15,147.01736,-19.21819
Cleveland Bay,W20,VR2W-110636,2011-03-22,2015-01-01,146.76697,-19.13725
Cleveland Bay,W19,VR2W-110637,2011-03-22,2015-01-01,146.77727,-19.13962
Cleveland Bay,W18,VR2W-111251,2011-03-22,2013-10-24,146.77698,-19.14849
Cleveland Bay,W17,VR2W-111252,2011-03-22,2015-01-01,146.77031,-19.15564
